english,translation
masterpiece,杰作
best_quality,最佳质量
high_quality,高质量
normal_quality,普通质量
low_quality,低质量
worst_quality,最差质量
absurdres,超高分辨率
highres,高分辨率
lowres,低分辨率
sketch,草图
lineart,线稿
monochrome,黑白
greyscale,灰度
flat_color,平涂
gradient,渐变
cel_shading,赛璐璐风格
watercolor,水彩
oil_painting,油画
digital_painting,数字绘画
3d,三维
cgi,电脑成像
realistic,写实
photorealistic,照片级写实
anime_style,动漫风格
anime_coloring,动漫上色
manga_style,漫画风格
comic,漫画
western_style,西方风格
chibi,Q版
1girl,1个女孩
1boy,1个男孩
2girls,2个女孩
2boys,2个男孩
multiple_girls,多个女孩
multiple_boys,多个男孩
solo,单人
couple,双人
no_humans,无人
blonde_hair,金发
brown_hair,棕发
black_hair,黑发
red_hair,红发
blue_hair,蓝发
pink_hair,粉发
purple_hair,紫发
green_hair,绿发
white_hair,白发
silver_hair,银发
grey_hair,灰发
long_hair,长发
short_hair,短发
medium_hair,中长发
very_long_hair,超长发
ponytail,马尾
twintails,双马尾
braid,辫子
bun,丸子头
ahoge,呆毛
straight_hair,直发
wavy_hair,波浪发
curly_hair,卷发
bangs,刘海
swept_bangs,侧分刘海
hair_between_eyes,眼间发
hair_over_one_eye,遮眼发
blue_eyes,蓝眼
red_eyes,红眼
green_eyes,绿眼
brown_eyes,棕眼
purple_eyes,紫眼
yellow_eyes,黄眼
pink_eyes,粉眼
heterochromia,异色瞳
glasses,眼镜
sunglasses,墨镜
school_uniform,校服
serafuku,水手服
maid,女仆装
kimono,和服
yukata,浴衣
dress,连衣裙
skirt,裙子
shorts,短裤
pants,长裤
jeans,牛仔裤
shirt,衬衫
jacket,夹克
hoodie,卫衣
sweater,毛衣
bikini,比基尼
swimsuit,泳装
underwear,内衣
nude,裸体
armor,盔甲
casual,休闲
formal,正装
sportswear,运动装
hat,帽子
ribbon,蝴蝶结
bow,蝴蝶结
flower,花
hair_ornament,发饰
hairband,发箍
headband,头带
cat_ears,猫耳
animal_ears,兽耳
tail,尾巴
wings,翅膀
halo,光环
smile,微笑
open_mouth,张嘴
blush,脸红
tears,眼泪
angry,生气
sad,悲伤
happy,开心
surprised,惊讶
looking_at_viewer,看向观众
looking_away,看向别处
looking_back,回头
closed_eyes,闭眼
open_eyes,睁眼
from_above,俯视
from_below,仰视
from_behind,背后
from_side,侧面
portrait,肖像
full_body,全身
upper_body,上半身
cowboy_shot,牛仔镜头
sitting,坐着
standing,站着
lying,躺着
running,跑步
walking,走路
flying,飞行
fighting,战斗
holding,拿着
eating,吃东西
drinking,喝水
sleeping,睡觉
reading,阅读
pointing,指着
waving,挥手
hand_on_hip,手叉腰
arms_behind_back,手背后
arms_up,举手
crossed_arms,抱臂
peace_sign,和平手势
v_sign,V字手势
thumbs_up,点赞
tongue_out,吐舌头
winking,眨眼
grinning,咧嘴笑
fang,虎牙
sharp_teeth,尖牙
mole,痣
mole_under_eye,眼下痣
freckles,雀斑
scar,伤疤
tattoo,纹身
bandages,绷带
bandaid,创可贴
eyepatch,眼罩
mask,面具
cat_tail,猫尾
fox_ears,狐耳
fox_tail,狐尾
bunny_ears,兔耳
dog_ears,犬耳
horns,角
demon_horns,鬼角
angel_wings,天使翅膀
demon_wings,恶魔翅膀
bat_wings,蝙蝠翅膀
dragon_tail,龙尾
multiple_tails,多尾
nine_tails,九尾
simple_background,简单背景
white_background,白色背景
black_background,黑色背景
gradient_background,渐变背景
transparent_background,透明背景
scenery,风景
outdoor,户外
indoor,室内
nature,自然
sky,天空
clouds,云
sunset,日落
night,夜晚
starry_sky,星空
moon,月亮
sun,太阳
rain,雨
snow,雪
cherry_blossoms,樱花
water,水
ocean,海洋
beach,海滩
forest,森林
mountain,山
city,城市
cityscape,城市景观
street,街道
room,房间
classroom,教室
bedroom,卧室
bathroom,浴室
kitchen,厨房
library,图书馆
rooftop,屋顶
school,学校
park,公园
garden,花园
field,田野
underwater,水下
space,太空
abstract_background,抽象背景
